date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:20:15	18453/18453	---M-Z	200	added ('OK')	application/javascript	etag:W/%224815-X345IhPN9ecWFBGPsm+VIO+A35c%22	https://cdn.jsdelivr.net/npm/@popperjs/core@2.6.0/dist/umd/popper.min.js	C:/Mis%20lugares%20Web/DOGELAND/cdn.jsdelivr.net/npm/@popperjs/core@2.6.0/dist/umd/popper.min.js	(from https://dogeland.io/)
23:20:15	14054/14054	---MCZ	200	added ('OK')	text/html	date:Fri,%2026%20Mar%202021%2022:20:14%20GMT	https://dogeland.io/files/	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/index.html	(from https://dogeland.io/)
23:20:15	95786/95786	---M-Z	200	added ('OK')	application/javascript	etag:W/%2254499a47-1762a%22	http://code.jquery.com/jquery-1.11.1.min.js	C:/Mis%20lugares%20Web/DOGELAND/code.jquery.com/jquery-1.11.1.min.js	(from https://dogeland.io/)
23:20:15	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2026%20Mar%202021%2022:20:15%20GMT	http://cdn.jsdelivr.net/npm/clipboard@2.0.6/dist/clipboard.min.js	C:/Mis%20lugares%20Web/DOGELAND/cdn.jsdelivr.net/npm/clipboard@2.0.6/dist/clipboard.min.32.delayed	(from https://dogeland.io/)
23:20:16	10453/10453	---M-Z	200	added ('OK')	application/javascript	etag:W/%2228d5-Y3HsCo4kI5XH1NAI0rmORyydzFI%22	https://cdn.jsdelivr.net/npm/clipboard@2.0.6/dist/clipboard.min.js	C:/Mis%20lugares%20Web/DOGELAND/cdn.jsdelivr.net/npm/clipboard@2.0.6/dist/clipboard.min.js	(from https://dogeland.io/)
23:20:17	28926/28926	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03ea7-70fe%22	http://cdnjs.cloudflare.com/ajax/libs/intro.js/2.9.3/intro.min.js	C:/Mis%20lugares%20Web/DOGELAND/cdnjs.cloudflare.com/ajax/libs/intro.js/2.9.3/intro.min.js	(from https://dogeland.io/)
23:20:17	61768/61768	---M-Z	200	added ('OK')	application/javascript	etag:W/%22f148-1lwe2nGkNt40oyS3NwhCEiV4X1k%22	https://cdn.jsdelivr.net/npm/bootstrap@5.0.0-beta2/dist/js/bootstrap.min.js	C:/Mis%20lugares%20Web/DOGELAND/cdn.jsdelivr.net/npm/bootstrap@5.0.0-beta2/dist/js/bootstrap.min.js	(from https://dogeland.io/)
23:20:18	34062/34062	---MCZ	200	added ('OK')	application/javascript	date:Wed,%2017%20Mar%202021%2019:47:17%20GMT	https://dogeland.io/files/style.js?v=12	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/stylee5bf.js	(from https://dogeland.io/)
23:20:18	34248/34248	---M-Z	200	added ('OK')	text/css	date:Thu,%2018%20Mar%202021%2011:33:08%20GMT	https://dogeland.io/files/custom.css?r=1616797212	C:/Mis%20lugares%20Web/DOGELAND/dogeland.io/files/customc23d.css	(from https://dogeland.io/about/privacy)
23:20:19	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2026%20Mar%202021%2022:20:18%20GMT	http://cdn.firebase.com/js/client/2.0.4/firebase.js	C:/Mis%20lugares%20Web/DOGELAND/cdn.firebase.com/js/client/2.0.4/firebase.38.delayed	(from https://dogeland.io/about/privacy)
